#WAVE       SPEC        ERROR
1.35025e+02 1.00414e+00 1.00414e-01
1.36162e+02 1.01341e+00 1.01341e-01
1.37308e+02 1.02241e+00 1.02241e-01
1.38465e+02 1.03116e+00 1.03116e-01
1.39630e+02 1.03962e+00 1.03962e-01
1.40806e+02 1.04780e+00 1.04780e-01
1.41992e+02 1.05569e+00 1.05569e-01
1.43187e+02 1.06326e+00 1.06326e-01
1.44393e+02 1.07053e+00 1.07053e-01
1.45609e+02 1.07749e+00 1.07749e-01
1.46835e+02 1.08414e+00 1.08414e-01
1.48071e+02 1.09045e+00 1.09045e-01
1.49318e+02 1.09644e+00 1.09644e-01
1.50576e+02 1.10211e+00 1.10211e-01
1.51844e+02 1.10744e+00 1.10744e-01
1.53122e+02 1.11243e+00 1.11243e-01
1.54411e+02 1.11707e+00 1.11707e-01
1.55712e+02 1.12138e+00 1.12138e-01
1.57023e+02 1.12534e+00 1.12534e-01
1.58345e+02 1.12895e+00 1.12895e-01
1.59678e+02 1.13221e+00 1.13221e-01
1.61023e+02 1.13513e+00 1.13513e-01
1.62379e+02 1.13769e+00 1.13769e-01
1.63746e+02 1.13990e+00 1.13990e-01
1.65125e+02 1.14177e+00 1.14177e-01
1.66515e+02 1.14327e+00 1.14327e-01
1.67917e+02 1.14444e+00 1.14444e-01
1.69331e+02 1.14524e+00 1.14524e-01
1.70757e+02 1.14571e+00 1.14571e-01
1.72195e+02 1.14582e+00 1.14582e-01
1.73645e+02 1.14559e+00 1.14559e-01
1.75107e+02 1.14501e+00 1.14501e-01
1.76582e+02 1.14410e+00 1.14410e-01
1.78068e+02 1.14284e+00 1.14284e-01
1.79568e+02 1.14125e+00 1.14125e-01
1.81080e+02 1.13933e+00 1.13933e-01
1.82605e+02 1.13708e+00 1.13708e-01
1.84142e+02 1.13450e+00 1.13450e-01
1.85693e+02 1.13162e+00 1.13162e-01
1.87256e+02 1.12840e+00 1.12840e-01
1.88833e+02 1.12488e+00 1.12488e-01
1.90423e+02 1.12105e+00 1.12105e-01
1.92027e+02 1.11693e+00 1.11693e-01
1.93644e+02 1.11251e+00 1.11251e-01
1.95274e+02 1.10779e+00 1.10779e-01
1.96918e+02 1.10278e+00 1.10278e-01
1.98577e+02 1.09751e+00 1.09751e-01
2.00249e+02 1.09196e+00 1.09196e-01
2.01935e+02 1.08614e+00 1.08614e-01
2.03635e+02 1.08005e+00 1.08005e-01
2.05350e+02 1.07372e+00 1.07372e-01
2.07079e+02 1.06715e+00 1.06715e-01
2.08823e+02 1.06033e+00 1.06033e-01
2.10581e+02 1.05327e+00 1.05327e-01
2.12354e+02 1.04599e+00 1.04599e-01
2.14142e+02 1.03849e+00 1.03849e-01
2.15945e+02 1.03078e+00 1.03078e-01
2.17764e+02 1.02286e+00 1.02286e-01
2.19597e+02 1.01475e+00 1.01475e-01
2.21447e+02 1.00645e+00 1.00645e-01
2.23311e+02 9.97960e-01 9.97960e-02
2.25192e+02 9.89300e-01 9.89300e-02
2.27088e+02 9.80465e-01 9.80465e-02
2.29000e+02 9.71472e-01 9.71472e-02
2.30928e+02 9.62327e-01 9.62327e-02
2.32873e+02 9.53040e-01 9.53040e-02
2.34834e+02 9.43613e-01 9.43613e-02
2.36811e+02 9.34060e-01 9.34060e-02
2.38805e+02 9.24377e-01 9.24377e-02
2.40816e+02 9.14578e-01 9.14578e-02
2.42844e+02 9.04677e-01 9.04677e-02
2.44888e+02 8.94664e-01 8.94664e-02
2.46950e+02 8.84569e-01 8.84569e-02
2.49030e+02 8.74385e-01 8.74385e-02
2.51127e+02 8.64115e-01 8.64115e-02
2.53241e+02 8.53776e-01 8.53776e-02
2.55374e+02 8.43373e-01 8.43373e-02
2.57524e+02 8.32908e-01 8.32908e-02
2.59693e+02 8.22395e-01 8.22395e-02
2.61879e+02 8.11832e-01 8.11832e-02
2.64084e+02 8.01232e-01 8.01232e-02
2.66308e+02 7.90601e-01 7.90601e-02
2.68550e+02 7.79941e-01 7.79941e-02
2.70812e+02 7.69265e-01 7.69265e-02
2.73092e+02 7.58572e-01 7.58572e-02
2.75392e+02 7.47873e-01 7.47873e-02
2.77711e+02 7.37170e-01 7.37170e-02
2.80049e+02 7.26470e-01 7.26470e-02
2.82407e+02 7.15779e-01 7.15779e-02
2.84785e+02 7.05104e-01 7.05104e-02
2.87183e+02 6.94448e-01 6.94448e-02
2.89601e+02 6.83816e-01 6.83816e-02
2.92040e+02 6.73214e-01 6.73214e-02
2.94499e+02 6.62646e-01 6.62646e-02
2.96979e+02 6.52118e-01 6.52118e-02
2.99479e+02 6.41632e-01 6.41632e-02
3.02001e+02 6.31196e-01 6.31196e-02
3.04544e+02 6.20811e-01 6.20811e-02
3.07108e+02 6.10482e-01 6.10482e-02
3.09694e+02 6.00214e-01 6.00214e-02
3.12302e+02 5.90010e-01 5.90010e-02
3.14932e+02 5.79874e-01 5.79874e-02
3.17584e+02 5.69809e-01 5.69809e-02
3.20258e+02 5.59817e-01 5.59817e-02
3.22955e+02 5.49903e-01 5.49903e-02
3.25674e+02 5.40070e-01 5.40070e-02
3.28416e+02 5.30320e-01 5.30320e-02
3.31182e+02 5.20657e-01 5.20657e-02
3.33970e+02 5.11081e-01 5.11081e-02
3.36782e+02 5.01596e-01 5.01596e-02
3.39618e+02 4.92206e-01 4.92206e-02
3.42478e+02 4.82912e-01 4.82912e-02
3.45362e+02 4.73715e-01 4.73715e-02
3.48270e+02 4.64618e-01 4.64618e-02
3.51202e+02 4.55620e-01 4.55620e-02
3.54160e+02 4.46729e-01 4.46729e-02
3.57142e+02 4.37940e-01 4.37940e-02
3.60149e+02 4.29257e-01 4.29257e-02
3.63182e+02 4.20683e-01 4.20683e-02
3.66240e+02 4.12215e-01 4.12215e-02
3.69324e+02 4.03858e-01 4.03858e-02
3.72434e+02 3.95611e-01 3.95611e-02
3.75570e+02 3.87476e-01 3.87476e-02
3.78732e+02 3.79452e-01 3.79452e-02
3.81921e+02 3.71540e-01 3.71540e-02
3.85137e+02 3.63741e-01 3.63741e-02
